Modelo/Ferramenta,Desenvolvedor,Parâmetros/Tamanho,Funcionalidades Principais,Requisitos de Hardware,Integração/Arquitetura,Fonte
Gemma 4 / Gemma 3,Google,"2B, 3B, 4B, 12B, 26B (MoE), 27B, 31B","Raciocínio, codificação, automação e entendimento multimodal (texto, imagem, áudio e vídeo). A versão 12B possui áudio nativo e MTP.",Variável: 2B roda em celulares ou VPS de 8GB RAM ( $<$ 4GB ocupados); 12B exige 16GB RAM; 26B/31B recomendam Mac M3 Ultra ou GPUs com alta VRAM.,Modelos Densos e MoE (Mixture of Experts); Versões Instruct/Base; Licença Apache 2.0; Suporte GGUF/Llama.cpp.,"1, 2, 3, 4, 5, 6, 7"
Qwen 3.5 / 3.6 / 3.7 / 2.5,Alibaba Cloud / Qwen,0.8B a 397B; Variantes 27B e 35B (MoE),"Raciocínio lógico, codificação de jogos (Doom, GTA), chamadas de ferramentas (agêntico) e análise de transcripts extensos.",Modelos menores para máquinas simples; 27B+ exigem GPUs com alta VRAM ou Mac M3 Ultra (256GB RAM para modelos massivos).,Densos e MoE; Janela de contexto até 262k tokens; Suporte a quantização GGUF; Capaz de gerar HTML/JS.,"1, 8, 2, 9, 10, 7"
Claude (e ferramentas),Anthropic,Not in source,"Decisões arquiteturais, codificação autônoma, diagnóstico de sistemas e orquestração de fluxos via Programmatic Tool Calling (PTC).",Acesso via API/Nuvem; SDK Python  $\ge$  0.72 para PTC.,"Modelos Sonnet, Opus e Haiku; Suporte a MCP (Model Context Protocol); Ambiente de execução de código Python.","4, 11, 12, 13"
Ollama,Equipe Ollama,Not in source (Software),"Interface para rodar, gerenciar e servir modelos locais (chat, codificação, visão, embeddings e tool calling).","Disponível para macOS, Windows, Linux e Docker; requisitos dependem do modelo carregado.",Arquitetura cliente-servidor; API REST (Python/JS); compatibilidade com APIs da OpenAI e Anthropic.,"1, 4, 6, 14, 15"
GLM 4.7 / 5 / 5.1 / 5.2,Zhipu AI / Z.ai,30B (Standard) a 744B (40B ativos),"Foco em chamada de ferramentas (agêntico), engenharia de sistemas, OCR multimodal e baixo custo via API.",Hospedagem local ou via OpenRouter.,Arquitetura encoder–decoder (GLM-V) para OCR; Nomenclatura Flash otimizada para velocidade.,"1, 7"
Ministral 3,Mistral AI,"3B, 8B","Monitoramento de preços, extração de dados e suporte a fluxos de produção com alta precisão.",3B roda em VPS com menos de 4GB RAM; 8B (Q3) exige próximo a 8GB RAM.,Arquitetura compacta otimizada para baixo consumo; Uso de quantização agressiva.,3
Omnistack-agent,Ricardo Coradini (Ricar66),Not in source,"Agente Full Stack (10 papéis: Arquiteto, DevOps, QA, etc.); compila adaptadores para múltiplos LLMs.",Node  $\ge$  18 para build; requisitos dependem do LLM hospedeiro.,Agnóstico a plataformas; arquitetura baseada em 'core/' e 'knowledge/' compilados para adaptadores.,"13, 16"
Llama 3.2 / Llama,Meta,3B (e variantes),Processamento de texto geral; alta velocidade de inferência (11.2 tokens/s).,Baixo requisito de RAM; rodou em VPS de 8GB.,Disponível via Ollama e LM Studio.,"3, 17"
Nemotron-3 (Super/Ultra),NVIDIA,33B a 120B (12B ativos),"Raciocínio de alto rendimento, fluxos multi-agente e entendimento unificado de vídeo, áudio e imagem.",Not in source,Arquitetura MoE (Mixture of Experts) ou Multimodal (Nano Omni).,7
DevStraw Small 2,Mistral AI,24B,Programação back-end e visão computacional para reprodução de interfaces (screenshots).,14GB de espaço (4 bits); Recomendado 16GB VRAM ou Mac com 24GB RAM.,Modelo denso; Janela de contexto entre 256k e 393k tokens.,8
